Constructions,Weather,Natural-Disasters,Earthquake,Listing ID,Address,Square Footage,Property Type,Listing Date,Description,Agent Contact Info,Seller's Notes,Property History,Location,Price
Modern,,,False,KOL-001112,"1234, Rabindranath Tagore Road, Kolkata, West Bengal, India",1500,Apartment,2015-05-01,"Newly constructed apartment in heart of Kolkata. 3 bedrooms, 2 bathrooms. Open balcony with city views.","{""Name"": ""John Doe"", ""Phone"": ""+91 9876543210"", ""Email"": ""johndoe@email.com""}",,,"Kolkata, West Bengal, India",3000000
Traditional,,,False,KOL-002223,"5678, Jadavpur Road, Kolkata, West Bengal, India",1200,House,2012-10-15,"Historic house in Jadavpur. 4 bedrooms, 3 bathrooms. Large backyard.","{""Name"": ""Sara Khan"", ""Phone"": ""+91 9876543211"", ""Email"": ""sarakhan@email.com""}",,,"Kolkata, West Bengal, India",2500000
Modern,,,False,KOL-003334,"9012, Deshapriya Park, Kolkata, West Bengal, India",1800,Apartment,2017-03-20,"Luxurious apartment in Deshapriya Park. 3 bedrooms, 3 bathrooms. High-end amenities.","{""Name"": ""Rajesh Patel"", ""Phone"": ""+91 9876543212"", ""Email"": ""rajeshpatel@email.com""}",,,"Kolkata, West Bengal, India",4500000
Traditional,,,False,KOL-004445,"3456, Bowbazar, Kolkata, West Bengal, India",1400,House,2013-06-08,"Spacious house in Bowbazar. 5 bedrooms, 4 bathrooms. Rooftop terrace.","{""Name"": ""Meera Singh"", ""Phone"": ""+91 9876543213"", ""Email"": ""meerasingh@email.com""}",,,"Kolkata, West Bengal, India",3200000
Modern,,,False,KOL-005556,"7890, Salt Lake, Kolkata, West Bengal, India",1600,Apartment,2016-11-12,"Sleek apartment in Salt Lake. 2 bedrooms, 2 bathrooms. Gym and pool.","{""Name"": ""Akash Gupta"", ""Phone"": ""+91 9876543214"", ""Email"": ""akashgupta@email.com""}",,,"Kolkata, West Bengal, India",2800000
Traditional,,,False,KOL-006667,"1357, Ballygunge, Kolkata, West Bengal, India",1300,House,2014-02-22,"Quaint house in Ballygunge. 3 bedrooms, 2 bathrooms. Garden.","{""Name"": ""Riya Chakraborty"", ""Phone"": ""+91 9876543215"", ""Email"": ""riyachakraborty@email.com""}",,,"Kolkata, West Bengal, India",2200000
Modern,,,False,KOL-007778,"4321, Alipore, Kolkata, West Bengal, India",1700,Apartment,2018-07-03,"Luxury apartment in Alipore. 3 bedrooms, 3 bathrooms. Private balcony.","{""Name"": ""Priya Roy"", ""Phone"": ""+91 9876543216"", ""Email"": ""priyroy@email.com""}",,,"Kolkata, West Bengal, India",5000000
Traditional,,,False,KOL-008889,"6789, Tollygunge, Kolkata, West Bengal, India",1900,House,2011-12-25,"Grand house in Tollygunge. 5 bedrooms, 4 bathrooms. Pool and garden.","{""Name"": ""Shruti Bhattacharya"", ""Phone"": ""+91 9876543217"", ""Email"": ""shrutibhattacharya@email.com""}",,,"Kolkata, West Bengal, India",4000000
Modern,,,False,KOL-009990,"2589, Shyambazar, Kolkata, West Bengal, India",1400,Apartment,2019-08-10,"Stylish apartment in Shyambazar. 2 bedrooms, 2 bathrooms. Rooftop terrace.","{""Name"": ""Krishna Mondal"", ""Phone"": ""+91 9876543218"", ""Email"": ""krishnamondal@email.com""}",,,"Kolkata, West Bengal, India",3000000
Traditional,,,False,KOL-010101,"8765, Bhowanipur, Kolkata, West Bengal, India",1100,House,2010-09-01,"Charming house in Bhowanipur. 4 bedrooms, 3 bathrooms. Terrace.","{""Name"": ""Ananya Banerjee"", ""Phone"": ""+91 9876543219"", ""Email"": ""ananyabanerjee@email.com""}",,,"Kolkata, West Bengal, India",2800000
Modern,Tropical Monsoon,Occasional Floods,Low Risk,100016,"1234, Sector V, Kolkata",1200,Apartment,2015-06-01,"Spacious 3-bedroom apartment with modern amenities in the heart of Kolkata's business district. Features include a balcony with city views and a large living room. Recent renovations include updated kitchen and bathroom. Building has 24/7 security and parking facilities. Surrounded by top-rated schools, hospitals, and restaurants. Neighborhood is known for its vibrant cultural scene.","9876543210, john.doe@example.com",Seller is a relocating professional. Asking price is negotiable. Contact agent for showing availability.,Purchased in 2010 for INR 8000000. Sold in 2020 for INR 12000000. No major repairs or renovations required during ownership.,"Kolkata, West Bengal, India",12000000
Traditional,Tropical Wet,Occasional Cyclones,Low Risk,100017,"5678, Behala, Kolkata",1000,Villa,2016-01-15,"Beautiful 4-bedroom villa in the peaceful Behala neighborhood. Features include a spacious garden, private swimming pool, and a traditional Bengali courtyard. Recently renovated with modern amenities. Building is surrounded by lush greenery and is close to popular tourist attractions. Neighborhood is known for its rich cultural heritage and vibrant local markets.","9876543211, jane.doe@example.com",Seller is retiring and looking to downsize. Asking price is firm. Contact agent for showing availability.,"Purchased in 2007 for INR 4000000. Sold in 2021 for INR 8000000. Major renovations included a new kitchen, bathrooms, and electrical system.","Kolkata, West Bengal, India",8000000
New,"Sunny, 80°F",Minor flooding in 2017,None,100001,234 Rajarhat New Town,1500,Apartment,2022-05-10,"2-bedroom apartment with modern amenities. Close to schools and hospitals. 
This apartment features spacious rooms, a well-equipped kitchen, and a balcony overlooking the city. 
The complex includes a swimming pool, gym, and playground for children. 
Contact us for a viewing appointment.
","John Doe, john.doe@example.com, 123-456-7890","This property has been well-maintained and upgraded with new appliances and flooring in 2019. 
It has been rented out for the past two years, but is now available for sale.
","Purchased in 2011 for INR 20 lakhs. 
Renovated in 2019 with INR 5 lakhs investment.
","Kolkata, India",3500000
