Property ID,Listing Date,Address,Square Footage,Property Type,Price,Description
100001,2013-01-01,"123, Park Street, Kolkata, West Bengal, India",2500,Apartment,1200000,"This spacious 2-bedroom apartment located in the heart of Kolkata, Park Street, is an excellent investment opportunity. Boasting a modern interior, the property offers ample natural light, a balcony with city views, and is conveniently located near top-rated schools, hospitals, and shopping centers. Listed for sale at INR 1200000."
100002,2014-07-15,"456, Elgin Road, Kolkata, West Bengal, India",1800,House,1500000,"Experience the charm of this beautiful 3-bedroom house nestled in the serene Elgin Road area of Kolkata. The property boasts a spacious living room, a well-equipped kitchen, and a lush garden. Its prime location makes it an ideal choice for families, with easy access to reputed schools, hospitals, and markets. Listed for sale at INR 1500000."
100003,2015-12-20,"789, Jawaharlal Nehru Road, Kolkata, West Bengal, India",3000,Apartment,2000000,"Discover luxury living in this stunning 4-bedroom apartment situated in the prestigious Jawaharlal Nehru Road neighborhood of Kolkata. Featuring a modern design, the property offers a rooftop terrace, a gym, and a swimming pool. With top-notch security and amenities, this apartment is a perfect investment for those seeking comfort and exclusivity. Listed for sale at INR 2000000."
100004,2016-03-12,"321, Chittaranjan Avenue, Kolkata, West Bengal, India",2000,Apartment,1800000,"Situated in the trendy Chittaranjan Avenue area, this 3-bedroom apartment is an excellent buy for both residential and investment purposes. The property offers ample space, modern amenities, and a prime location. With easy access to schools, hospitals, and shopping centers, this apartment is a must-see for those looking to make a smart real estate investment. Listed for sale at INR 1800000."
100005,2017-09-25,"654, Bidhan Sarani, Kolkata, West Bengal, India",1500,House,1300000,"Experience the charm of this 2-bedroom house located in the prestigious Bidhan Sarani area of Kolkata. The property boasts a spacious living room, a well-equipped kitchen, and a beautiful garden. With its prime location, this house is an ideal choice for families seeking a serene environment and easy access to top-rated schools, hospitals, and markets. Listed for sale at INR 1300000."
100006,2018-02-01,"987, Rabindranath Tagore Road, Kolkata, West Bengal, India",3500,Apartment,2500000,"Discover the epitome of luxury living in this exquisite 5-bedroom apartment located in the prestigious Rabindranath Tagore Road neighborhood of Kolkata. Featuring a contemporary design, the property offers a rooftop terrace, a gym, a swimming pool, and top-notch security. With easy access to top-rated schools, hospitals, and shopping centers, this apartment is a perfect investment for those seeking comfort, exclusivity, and convenience. Listed for sale at INR 2500000."
100007,2019-08-10,"111, Deshapriya Park, Kolkata, West Bengal, India",2200,Apartment,2200000,"Experience modern living in this spacious 3-bedroom apartment located in the prime Deshapriya Park area of Kolkata. Boasting a modern interior, the property offers ample natural light, a balcony with city views, and is conveniently located near top-rated schools, hospitals, and shopping centers. Listed for sale at INR 2200000."
100008,2020-01-15,"222, Bhowanipur Road, Kolkata, West Bengal, India",1600,House,1400000,"Experience the charm of this beautiful 2-bedroom house nestled in the serene Bhowanipur Road area of Kolkata. The property boasts a spacious living room, a well-equipped kitchen, and a lush garden. Its prime location makes it an ideal choice for families, with easy access to reputed schools, hospitals, and markets. Listed for sale at INR 1400000."
100009,2021-06-20,"333, Rashbehari Avenue, Kolkata, West Bengal, India",2800,Apartment,3000000,"Discover luxury living in this stunning 4-bedroom apartment situated in the prestigious Rashbehari Avenue neighborhood of Kolkata. Featuring a modern design, the property offers a rooftop terrace, a gym, and a swimming pool. With top-notch security and amenities, this apartment is a perfect investment for those seeking comfort and exclusivity. Listed for sale at INR 3000000."
100010,2022-03-12,"444, Tollygunge Circular Road, Kolkata, West Bengal, India",1900,Apartment,2000000,"Situated in the trendy Tollygunge Circular Road area, this 3-bedroom apartment is an excellent buy for both residential and investment purposes. The property offers ample space, modern amenities, and a prime location. With easy access to schools, hospitals, and shopping centers, this apartment is a must-see for those looking to make a smart real estate investment. Listed for sale at INR 2000000."
